DateTime,DeviceId,AccuracyRadius,Latitude,Longitude,Time,Title,Url,SearchTerms
"7/24/2023 12:08:48 AM +00:00",,,,,"7/24/2023 12:09:38 AM +00:00","ASE Test Preparation | DVDs, Books, & eBooks Guides","https://www.bing.com/aclick?ld=e8ojVX7oNEkqtnQLKjct7WYjVUCUy10v4j6kaxb_HCn2e8mE8p0H5mYpZ5zEmA7teKsEtv23mLAnu_AiFTieq8Z-UI_Ds2tuu4R9fQ1HsaaCqvw5teLq4J94K8DiWmTsmYhM_L-tt0fDe-dbhEKgO4JYOLTJ-_ncHafbbtIYDHxAlzeo9iEL2pXYD1hHQum2urdilqsA&u=aHR0cHMlM2ElMmYlMmZwYXNzdGhlYXNlLm1vdG9yYWdldHJhaW5pbmcuY29tJTJmY29udGVudCUyZk1vdG9yLUFnZS1UcmFpbmluZy5hc3B4JTNmbXNjbGtpZCUzZDczNTYwNTMzMDUwNDE2MGVmYjIxNjE4ZWM0MGI2MDlhJTI2dXRtX3NvdXJjZSUzZGJpbmclMjZ1dG1fbWVkaXVtJTNkY3BjJTI2dXRtX2NhbXBhaWduJTNkV1AlMjUyMC0lMjUyMEJyYW5kJTI2dXRtX3Rlcm0lM2QlMjUyQm1vdG9yJTI1MjAlMjUyQmFnZSUyNTIwJTI1MkJ0cmFpbmluZyUyNTIwJTI1MkJhc2UlMjUyMCUyNTJCcHJlcGFyYXRpb24lMjZ1dG1fY29udGVudCUzZEJyYW5kJTI1MjAtJTI1MjBBU0UlMjUyMFByZXBhcmF0aW9uJTI1MjAtJTI1MjBOZXc&rlid=735605330504160efb21618ec40b609a",Cheap Online ASE prep books
"7/24/2023 12:05:26 AM +00:00",,,,,"7/24/2023 12:05:28 AM +00:00",Gmail - Google Accounts,"https://accounts.google.com/login?service=mail&lp=1",gmail sign in email
"7/24/2023 12:02:17 AM +00:00",,,,,"7/24/2023 12:03:05 AM +00:00",audio audible books | Amazon Official Site,"https://www.bing.com/aclick?ld=e8_DJMg93x-UgskiAemZIR2jVUCUxfQnY_RBR_2NblaN85kugUhEDf9dfMFtubrbB-uiMahy-XCvlyTMg_DaeuPEVaygLpy--_Z1kWUq_5JVMuI5-BsLigNXF54cg5V-4opnKIElejsrJojkp3Gt1uToZer0NRFtvnC8pyvhOKCkYNbWbFHj5m5vLT2Y_jd47y-ao2AA&u=aHR0cHMlM2ElMmYlMmZ3d3cuYW1hem9uLmNvbSUyZnMlMmYlM2ZpZSUzZFVURjglMjZrZXl3b3JkcyUzZGF1ZGlvJTJiYXVkaWJsZSUyYmJvb2tzJTI2aW5kZXglM2RhcHMlMjZ0YWclM2RtaDBiLTIwJTI2cmVmJTNkcGRfc2xfNGxiNmx0N3I1bV9wJTI2YWRncnBpZCUzZDEzMzE1MDkxNDU1MzM3MTMlMjZodmFkaWQlM2Q4MzIxOTM5MjY2NDM0MiUyNmh2bmV0dyUzZG8lMjZodnFtdCUzZHAlMjZodmJtdCUzZGJwJTI2aHZkZXYlM2RjJTI2aHZsb2NpbnQlM2QlMjZodmxvY3BoeSUzZDg4NDAwJTI2aHZ0YXJnaWQlM2Rrd2QtODMyMTk2Njg5NjQwNzElM2Fsb2MtMTkwJTI2aHlkYWRjciUzZDk1NThfMTA1NDI5MzE&rlid=6ec2e3d5566f172ff27e8768e9e78e63",amazon audible
"7/23/2023 4:09:41 PM +00:00",,,,,,,,2687 monument blvd concord ca 94520
"7/23/2023 4:07:56 PM +00:00",,,,,,,,1616 west texas street fairfield ca
"7/23/2023 3:52:08 PM +00:00",,,,,,,,costco automotive repair
"7/23/2023 3:51:54 PM +00:00",,,,,,,,does costco do more than change battery
"7/23/2023 3:51:02 PM +00:00",,,,,,,,costco automotive repair
"7/23/2023 3:51:02 PM +00:00",,,,,,,,Costco Tire Center
"7/23/2023 3:50:53 PM +00:00",,,,,,,,costco automotive repair
